Time,X,Y,P
0,-0.311161986811373,0.368607276684257,0.044
0.019,-0.311161986811373,0.427648269053596,0.407
0.019,-0.311161986811373,0.427648269053596,0.407
0.033,-0.311161986811373,0.457168765238266,0.673
0.048,-0.266881242534369,0.427648269053596,0.815
0.065,-0.266881242534369,0.309566284314917,1
0.082,-0.222600498257363,0.161963803391567,1
0.098,-0.222600498257363,-0.133241158455132,1
0.115,-0.222600498257363,-0.310364135563152,1
0.116,-0.222600498257363,-0.339884631747822,1
0.131,-0.178319753980359,-0.428446120301832,1
0.148,-0.178319753980359,-0.517007608855842,0.966
0.165,-0.134039009703356,-0.428446120301832,0.171
0.173,-0.134039009703356,-0.398925624117162,0.044
0.174,NaN,NaN,NaN
0.256,-0.222600498257363,-0.0151591737164526,0.038
0.283,-0.222600498257363,0.0438818186528873,0.454
0.283,-0.222600498257363,0.0438818186528873,0.454
0.298,-0.134039009703356,0.102922811022227,0.61
0.315,0.0430839674046634,0.280045788130247,0.782
0.331,0.220206944512683,0.427648269053596,0.845
0.332,0.264487688789686,0.457168765238266,0.853
0.348,0.397329921620703,0.575250749976946,0.874
0.366,0.441610665897706,0.634291742346286,0.882
0.383,0.441610665897706,0.634291742346286,0.884
0.403,0.264487688789686,0.486689261422936,0.882
0.418,0.0873647116816667,0.368607276684257,0.886
0.432,-0.0454775211493464,0.191484299576237,0.901
0.458,-0.178319753980359,-0.0742001660857925,0.929
0.469,-0.134039009703356,-0.133241158455132,0.958
0.481,-0.0454775211493464,-0.192282150824472,0.983
0.498,0.131645455958673,-0.310364135563152,1
0.516,0.264487688789686,-0.398925624117162,1
0.531,0.353049177343699,-0.487487112671172,1
0.547,0.397329921620703,-0.605569097409851,1
0.565,0.397329921620703,-0.694130585963861,1
0.585,0.397329921620703,-0.694130585963861,0.497
0.599,0.397329921620703,-0.664610089779191,0.101
0.6,NaN,NaN,NaN
