Time,X,Y,P
0,-0.1924305343431,0.444805569226469,0.019
0.04,-0.206765088820125,0.435249199575119,0.271
0.04,-0.206765088820125,0.435249199575119,0.271
0.053,-0.206765088820125,0.425692829923769,0.315
0.074,-0.206765088820125,0.33968550306162,0.513
0.094,-0.206765088820125,0.215452697594071,0.681
0.096,-0.206765088820125,0.196339958291371,0.704
0.116,-0.221099643297151,0.0147689349157229,0.843
0.136,-0.221099643297151,-0.119020240203176,0.921
0.16,-0.221099643297151,-0.214583936716675,0.978
0.178,-0.221099643297151,-0.233696676019375,0.987
0.198,-0.221099643297151,-0.147689349157226,0.991
0.219,-0.206765088820125,-0.004343804386977,0.933
0.244,-0.163761425389049,0.215452697594071,0.897
0.264,-0.106423207480952,0.36835461201567,0.89
0.286,-0.0490849895728499,0.425692829923769,0.89
0.302,-0.00608132614177576,0.37791098166702,0.911
0.324,0.00825322833524754,0.234565436896771,0.95
0.345,0.022587782812273,0.0243253045670728,1
0.366,0.0369223372892984,-0.138132979505876,1
0.389,0.0369223372892984,-0.233696676019375,1
0.409,0.0369223372892984,-0.205027567065325,1
0.429,0.0655914462433492,-0.0903511312491264,0.96
0.45,0.108595109674423,0.0816635224751718,0.839
0.47,0.151598773105498,0.244121806548121,0.81
0.493,0.208936991013597,0.33012913341027,0.812
0.511,0.237606099967646,0.26323454585082,0.876
0.534,0.251940654444671,0.00521256526437293,0.933
0.555,0.280609763398722,-0.319704002881525,0.993
0.576,0.309278872352771,-0.635064201376072,1
0.594,0.36661709026087,-0.83574796405442,0.94
0.618,0.452624417123021,-0.950424399870619,0.208
0.629,0.495628080554095,-0.950424399870619,0.021
0.63,NaN,NaN,NaN
