Time,X,Y,P
0,-0.0340758083438299,0.4022281690782,0.054
0.006,-0.0340758083438299,0.435635824317253,0.175
0.006,-0.0340758083438299,0.435635824317253,0.175
0.023,-0.0173719807243027,0.502451134795359,0.323
0.045,-0.0340758083438299,0.513587019875043,0.417
0.057,-0.0340758083438299,0.457907594476621,0.462
0.073,-0.0507796359633571,0.290869318281357,0.519
0.089,-0.0841872912024114,0.0236080763689322,0.56
0.111,-0.151002601680515,-0.265924935702861,0.61
0.127,-0.201114084539097,-0.522050292535602,0.646
0.141,-0.234521739778149,-0.666816798571499,0.659
0.157,-0.201114084539097,-0.733632109049605,0.649
0.174,-0.100891118821936,-0.711360338890236,0.376
0.191,0.0327395021342763,-0.577729717934024,0.001
0.193,NaN,NaN,NaN
0.274,-0.0674834635828842,0.0124721912892478,0.069
0.276,-0.0841872912024114,0.0124721912892478,0.192
0.276,-0.0841872912024114,0.0124721912892478,0.192
0.29,-0.134298774060991,0.00133630620956346,0.515
0.309,-0.18441025691957,-0.00979957887012091,0.679
0.325,-0.117594946441463,0.0124721912892478,0.755
0.34,0.0327395021342763,0.0236080763689322,0.763
0.356,0.233185433568593,0.0570157316079853,0.724
0.373,0.450335192622438,0.0792875017673541,0.505
0.392,0.567261985959124,0.101559271926723,0.108
0.399,0.567261985959124,0.112695157006407,0.003
0.4,NaN,NaN,NaN
